店铺名称,店铺详情,店铺评分,评价人数,人均消费,店铺地址
阿姨奶茶（外卖店）,https://www.meituan.com/meishi/40342498/,4.0,0,0.0,虹桥/古北
阿姨奶茶（新北街店）,https://www.meituan.com/meishi/42002092/,3.9,693,8.0,新桥
阿姨奶茶,https://www.meituan.com/meishi/93680259/,3.9,1,15.0,嘉定新城
阿姨奶茶（南汇大学城店）,https://www.meituan.com/meishi/100693155/,3.9,0,0.0,惠南镇
阿姨奶茶（沪星店）,https://www.meituan.com/meishi/94114187/,3.9,228,9.0,七宝
CoCo都可（小昆山平原店）,https://www.meituan.com/meishi/1392428447/,4.2,246,13.0,松江区
CoCo都可（南门大街店）,https://www.meituan.com/meishi/433241/,4.3,477,12.0,惠南镇
阿姨奶茶（南翔德华路店）,https://www.meituan.com/meishi/41077655/,4.2,399,10.0,南翔
阿姨奶茶（甜爱路店）,https://www.meituan.com/meishi/40262769/,4.1,133,10.0,虹口足球场/鲁迅公园
秋满阿姨奶茶（大润发店）,https://www.meituan.com/meishi/125621191/,4.1,488,18.0,丰庄
秋满阿姨奶茶（桥梓湾店）,https://www.meituan.com/meishi/42067538/,3.9,3264,10.0,青浦城区
憨豆先生·五谷坚果奶茶（祝桥南祝路店）,https://www.meituan.com/meishi/831767629/,3.7,42,16.0,祝桥
阿姨奶茶（浦江店）,https://www.meituan.com/meishi/42789475/,3.8,83,13.0,浦江镇
阿姨奶茶,https://www.meituan.com/meishi/50669057/,4.1,58,9.0,丰庄
阿姨奶茶（安波店）,https://www.meituan.com/meishi/6543490/,4.0,44,8.0,黄兴公园
秋满阿姨奶茶（华星店）,https://www.meituan.com/meishi/157074611/,4.0,2,0.0,祝桥
阿姨奶茶（北艾路店）,https://www.meituan.com/meishi/97493181/,3.9,182,14.0,世博园
阿姨奶茶（龙吴路店）,https://www.meituan.com/meishi/41877050/,4.1,149,8.0,吴泾镇
1点点（悦荟广场店）,https://www.meituan.com/meishi/1832429126/,3.5,0,15.0,人民广场/南京路
悸动烧仙草（松江万达店）,https://www.meituan.com/meishi/93257722/,3.9,406,16.0,松江万达广场
茶百道（莘庄维璟印象城店）,https://www.meituan.com/meishi/1545952581/,4.6,56,16.0,七宝
桂源铺（中环百联店）,https://www.meituan.com/meishi/150005762/,4.4,773,15.0,梅川路步行街
厝内小眷村（大华奥特莱斯店）,https://www.meituan.com/meishi/160002077/,4.2,25,29.0,大华地区
茶百道（洞泾同乐店）,https://www.meituan.com/meishi/1013599493/,4.9,16,16.0,洞泾
CoCo都可（牡丹密山店）,https://www.meituan.com/meishi/97972073/,4.2,526,11.0,宝山城区/吴淞
CoCo都可（江桥家乐福店）,https://www.meituan.com/meishi/118534682/,4.4,413,12.0,江桥
CoCo都可（大润发春申店）,https://www.meituan.com/meishi/490381/,4.4,588,10.0,春申地区
悸动烧仙草（西林街店）,https://www.meituan.com/meishi/610606255/,4.3,44,17.0,朱泾镇
CoCo都可（昌里路店）,https://www.meituan.com/meishi/471677/,4.1,229,11.0,上南地区
巡茶（中信泰富万达店）,https://www.meituan.com/meishi/182044053/,3.9,396,15.0,嘉定新城
7分甜（上海松江鹿都国际店）,https://www.meituan.com/meishi/999815869/,4.5,576,15.0,松江镇
